matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
partial_dct,12,Improved-gOMP,optimized,0.0007676519999222364,1.7982998542720452e-05,0.000445925001258729,0.00017505800133221783,2.6934005290968344e-05,2.382999809924513e-06
partial_dct,13,Improved-gOMP,baseline,0.0035974230013380293,4.112299939151853e-05,0.0023456050039385445,0.00022083499789005145,4.0923991036834195e-05,0.0005256620024738368
partial_dct,13,Improved-gOMP,optimized,0.0011870740017911885,2.7730002329917625e-05,0.0005943989999650512,0.0002656559954630211,4.0915998397395015e-05,0.00011545599772944115
partial_dct,14,Improved-gOMP,baseline,0.0021072359995741863,2.8349000785965472e-05,0.001475651006330736,0.0001467219954065513,3.2787993404781446e-05,0.0001295509973715525
partial_dct,14,Improved-gOMP,optimized,0.0010493789995962288,2.6440997316967696e-05,0.0005247560002317186,0.00020798499826923944,5.0085000111721456e-05,0.00011034300405299291
partial_dct,15,Improved-gOMP,baseline,0.0026722650000010617,3.068200021516532e-05,0.0019452730048215017,0.00017619399659452029,4.190099934930913e-05,0.0001470360039093066
partial_dct,15,Improved-gOMP,optimized,0.0012276010020286776,2.5762994482647628e-05,0.0005404440016718581,0.0002453989945934154,3.6370998714119196e-05,0.000235111998335924
partial_dct,16,Improved-gOMP,baseline,0.002248795997729758,2.8753001970471814e-05,0.0015620229969499633,0.00015415999223478138,3.163299334119074e-05,0.00013212700287112966
partial_dct,16,Improved-gOMP,optimized,0.0010302420014340896,2.2047996026230976e-05,0.0005316729984770063,0.00020381200010888278,3.2088992156786844e-05,9.851499635260552e-05
partial_dct,17,Improved-gOMP,baseline,0.0025199159972544294,3.1069004762684926e-05,0.0018283429963048548,0.00015438900663866661,3.837999247480184e-05,0.0001551020031911321
partial_dct,17,Improved-gOMP,optimized,0.0011455040003056638,3.7557005271082744e-05,0.0005890479951631278,0.00024438699620077386,3.852599911624566e-05,0.00010197199299000204
partial_dct,18,Improved-gOMP,baseline,0.0016320520007866435,2.23360002564732e-05,0.001259463002497796,0.00011110799823654816,2.9058996005915105e-05,2.649001544341445e-06
partial_dct,18,Improved-gOMP,optimized,0.0007565189989691135,2.0514002244453877e-05,0.00043895999624510296,0.00016620899623376317,2.975800452986732e-05,2.2759995772503316e-06
partial_dct,19,Improved-gOMP,baseline,0.002112276000843849,2.7627003873931244e-05,0.0014808480045758188,0.0001605280012881849,3.794200165430084e-05,0.00013119200593791902
partial_dct,19,Improved-gOMP,optimized,0.001322110001638066,0.00011738200191757642,0.0006567989948962349,0.00022677200104226358,3.666100019472651e-05,0.0001313700013270136
