coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
uniform,10,gOMP,optimized,0.00019664499995997176,1.8890001229010522e-05,4.2423995182616636e-05,7.021299461484887e-05,2.361899532843381e-05,0.0
uniform,11,gOMP,baseline,0.000745099998312071,3.7240002711769193e-05,0.00012100300227757543,0.0002646329994604457,5.1902999985031784e-05,0.0
uniform,11,gOMP,optimized,0.00026443300157552585,4.0415001421933994e-05,5.841799793415703e-05,8.617699495516717e-05,2.876600410672836e-05,0.0
uniform,12,gOMP,baseline,0.0005208280017541256,2.717399547691457e-05,7.501499567297287e-05,0.00020408899945323355,4.861200068262406e-05,0.0
uniform,12,gOMP,optimized,0.0002117849981004838,1.788000008673407e-05,4.464300218387507e-05,7.802899563102983e-05,2.532199869165197e-05,0.0
uniform,13,gOMP,baseline,0.00041969100129790604,2.3712993424851447e-05,5.5858996347524226e-05,0.0001686910036369227,3.2142004783963785e-05,0.0
uniform,13,gOMP,optimized,0.00023149099797592498,2.118899647030048e-05,4.385099600767717e-05,7.17430011718534e-05,2.4491004296578467e-05,0.0
uniform,14,gOMP,baseline,0.00042284799928893335,2.0007992134196684e-05,5.748800322180614e-05,0.000168814993230626,3.054099215660244e-05,0.0
uniform,14,gOMP,optimized,0.0006217400004970841,2.4780001695035025e-05,6.318600208032876e-05,0.0004219940019538626,4.6369998017326e-05,0.0
uniform,15,gOMP,baseline,0.0004728419989987742,2.3608998162671924e-05,5.920599869568832e-05,0.00018286499471287243,6.040200241841376e-05,0.0
uniform,15,gOMP,optimized,0.00020949300233041868,2.1326002752175555e-05,4.419200195115991e-05,7.364299744949676e-05,2.4751003365963697e-05,0.0
uniform,16,gOMP,baseline,0.0004399919998832047,2.098500044667162e-05,5.642100586555898e-05,0.00018368601013207808,3.401599678909406e-05,0.0
uniform,16,gOMP,optimized,0.0002546840005379636,4.404399442137219e-05,5.046900696470402e-05,8.329900083481334e-05,2.7824004064314067e-05,0.0
uniform,17,gOMP,baseline,0.0005866140018042643,2.9367005481617525e-05,7.216300218715332e-05,0.00020358800611575134,4.316199556342326e-05,0.0
uniform,17,gOMP,optimized,0.00024082800155156292,2.5360997824463993e-05,5.380299990065396e-05,8.226700083469041e-05,2.781599323498085e-05,0.0
uniform,18,gOMP,baseline,0.0003973700004280545,1.972799509530887e-05,5.6960001529660076e-05,0.00015693700697738677,2.9212995286798105e-05,0.0
uniform,18,gOMP,optimized,0.00019849499949486926,1.7674006812740117e-05,4.3701005779439583e-05,7.106799239409156e-05,2.4344000848941505e-05,0.0
uniform,19,gOMP,baseline,0.00041869800043059513,2.3682998289586976e-05,5.8217996411258355e-05,0.00015944899860187434,3.2715994166210294e-05,0.0
uniform,19,gOMP,optimized,0.0002321110005141236,2.1556006686296314e-05,5.802899249829352e-05,7.979200017871335e-05,2.6646004698704928e-05,0.0
