trial,measurement_ratio,algorithm,m,n,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
10,0.25,RMP,64,256,gaussian,gaussian,20.0,0.05202629631179882,0.016793573999259532,0.1295900227612432,0.8125,0.8125,0,0.0009077999857254326,16,16.0,0.3604949926622858,target_sparsity_reached,3,3,0.0003871000080835074,1.0,False,,0,0,2.6889594794992826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.25,OMP,64,256,gaussian,gaussian,20.0,0.04815006555224809,0.0023602891430162475,0.0485828070722169,1.0,1.0,1,0.0012547000078484416,16,16.0,0.2888623219930172,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,2.2880545918797157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.04815006555224809,0.06852405335602735,0.2617709941074972,0.6875,0.6875,0,0.0004202999989502132,6,16.0,0.7091339640303603,target_sparsity_reached,5,5,0.0,3.0,False,,0,0,2.9411849331597866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.04815006555224809,0.07588516403432326,0.27547261939133494,0.6875,0.6875,0,0.0016188999870792031,6,16.0,0.6880395996324484,target_sparsity_reached,5,5,0.0001451000280212611,17.0,True,cholesky_solve,1,0,2.787956939834436,1.0,1.0,0.0,0.0,1.0,0.0,1.0
11,0.25,RMP,64,256,gaussian,gaussian,20.0,0.04815006555224809,0.0023602891430162497,0.04858280707221692,1.0,1.0,1,0.0008868000004440546,16,16.0,0.2888623219930172,target_sparsity_reached,0,0,0.0003823000006377697,1.0,False,,0,0,2.2880545918797157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.25,OMP,64,256,gaussian,gaussian,20.0,0.035627299854524654,0.01426330338142783,0.11942907259720235,0.875,0.875,0,0.0010149000154342502,16,16.0,0.21231743856312907,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.6210483164941816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.035627299854524654,0.023413595337345067,0.15301501670537132,0.8125,0.8125,0,0.0004262999864295125,6,16.0,0.24851982578053863,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.704411944502424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.035627299854524654,0.028181962481380773,0.16787484171662165,0.8125,0.8125,0,0.0014968000177759677,6,16.0,0.25685262980549095,target_sparsity_reached,3,3,0.0001464999804738909,17.333333333333332,True,cholesky_solve,1,0,2.800630455153061,1.0,1.0,0.0,0.0,1.0,0.0,1.0
12,0.25,RMP,64,256,gaussian,gaussian,20.0,0.035627299854524654,0.014263303381427816,0.11942907259720228,0.875,0.875,0,0.0009101000032387674,16,16.0,0.21231743856312904,target_sparsity_reached,2,2,0.00038409995613619685,1.0,False,,0,0,2.6210483164941816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.25,OMP,64,256,gaussian,gaussian,20.0,0.06693414058447293,0.020935340571617056,0.14469049924448066,0.6875,0.6875,0,0.0010006000229623169,16,16.0,0.3508440532131791,target_sparsity_reached,5,5,0.0,1.0,False,,0,0,2.377193565165999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.06693414058447293,0.02730652501690462,0.1652468608382762,0.625,0.625,0,0.0004259000124875456,6,16.0,0.4773710744729846,target_sparsity_reached,6,6,0.0,3.0,False,,0,0,3.5217609761655546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.06693414058447293,0.015118562147573929,0.12295756238464525,0.625,0.8333333333333334,0,0.001076199987437576,5,12.0,0.5592642652079814,noise_floor,2,6,9.90999978967011e-05,16.6,True,,0,0,2.7713052878045046,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,0.25,RMP,64,256,gaussian,gaussian,20.0,0.06693414058447293,0.02093534057161705,0.14469049924448063,0.6875,0.6875,0,0.0010304999887011945,16,16.0,0.35084405321317913,target_sparsity_reached,5,5,0.0004152999899815768,1.0,False,,0,0,2.377193565165999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.25,OMP,64,256,gaussian,gaussian,20.0,0.04332786354574518,0.011204735474947538,0.10585242309436066,0.8125,0.8125,0,0.0010082999942824244,16,16.0,0.2550804933111929,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.5257797340660897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.04332786354574518,0.07879758210380593,0.2807090702200517,0.5,0.5,0,0.0003934999986086041,6,16.0,0.5083585052181132,target_sparsity_reached,8,8,0.0,3.0,False,,0,0,3.14623053585977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.04332786354574518,0.06953749850925481,0.26369963691528814,0.5,0.5,0,0.0017695999995339662,6,16.0,0.438370341356781,target_sparsity_reached,8,8,0.0001377999724354595,16.833333333333332,True,cholesky_solve,1,0,3.181305021588527,1.0,1.0,0.0,0.0,1.0,0.0,1.0
14,0.25,RMP,64,256,gaussian,gaussian,20.0,0.04332786354574518,0.011204735474947524,0.1058524230943606,0.8125,0.8125,0,0.0012214999878779054,16,16.0,0.25508049331119304,target_sparsity_reached,3,3,0.0004624000284820795,1.0,False,,0,0,2.5257797340660897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,OMP,64,256,gaussian,gaussian,20.0,0.047701788631918936,0.025654768333794296,0.1601710596012722,0.8125,0.8125,0,0.0009498999861534685,16,16.0,0.31412413524618443,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.5917046538827258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.047701788631918936,0.034713956602521585,0.1863168178198672,0.75,0.75,0,0.00037250001332722604,6,16.0,0.4830077782878916,target_sparsity_reached,4,4,0.0,3.0,False,,0,0,3.092580584026534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.047701788631918936,0.007439848719003559,0.08625455767090547,0.875,0.875,0,0.0014724000066053122,6,16.0,0.35092458917742764,target_sparsity_reached,2,2,0.00014110002666711807,17.333333333333332,True,cholesky_solve,1,0,2.902425652747332,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15,0.25,RMP,64,256,gaussian,gaussian,20.0,0.047701788631918936,0.02565476833379426,0.1601710596012721,0.8125,0.8125,0,0.0008728999819140881,16,16.0,0.3141241352461845,target_sparsity_reached,3,3,0.00036319997161626816,1.0,False,,0,0,2.5917046538827258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.25,OMP,64,256,gaussian,gaussian,20.0,0.054508750202682914,0.005225204982743411,0.07228557935538325,1.0,1.0,1,0.0008610000077169389,16,16.0,0.37260069657654754,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,2.492506579837395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.054508750202682914,0.02174928036657944,0.14747637223155252,0.8125,0.8125,0,0.0003749000024981797,6,16.0,0.49062174387074103,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.9225300381367862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.054508750202682914,0.00984916514199642,0.09924296016341119,0.9375,0.9375,0,0.0015622000209987164,6,16.0,0.39621547261678003,target_sparsity_reached,1,1,0.0001406999654136598,17.0,True,cholesky_solve,1,0,2.632376764957629,1.0,1.0,0.0,0.0,1.0,0.0,1.0
16,0.25,RMP,64,256,gaussian,gaussian,20.0,0.054508750202682914,0.005225204982743398,0.07228557935538317,1.0,1.0,1,0.000880400009918958,16,16.0,0.3726006965765475,target_sparsity_reached,0,0,0.00036380000528879464,1.0,False,,0,0,2.492506579837395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.25,OMP,64,256,gaussian,gaussian,20.0,0.0664542050860036,0.008105101665307498,0.09002833812365693,0.875,0.875,0,0.0009969999955501407,16,16.0,0.45586777034424103,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.581534049322209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.0664542050860036,0.19182858024057844,0.43798239718118637,0.625,0.625,0,0.00040180000360123813,6,16.0,1.0555693025795785,target_sparsity_reached,6,6,0.0,3.0,False,,0,0,2.9942920580953465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.0664542050860036,0.05420102745578641,0.232811141176247,0.75,0.75,0,0.0020773000142071396,6,16.0,0.7308214786864999,target_sparsity_reached,4,4,0.0001558999647386372,17.0,True,cholesky_solve,1,0,3.1978309042761177,1.0,1.0,0.0,0.0,1.0,0.0,1.0
17,0.25,RMP,64,256,gaussian,gaussian,20.0,0.0664542050860036,0.008105101665307497,0.09002833812365692,0.875,0.875,0,0.0009520000021439046,16,16.0,0.4558677703442411,target_sparsity_reached,2,2,0.00039600004674866796,1.0,False,,0,0,2.581534049322209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.25,OMP,64,256,gaussian,gaussian,20.0,0.058123581441579995,0.007638409679510642,0.08739799585522909,0.8125,0.8125,0,0.0012346000003162771,16,16.0,0.33127243685360447,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.208251079390547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.058123581441579995,0.006490786346396582,0.08056541656564918,0.8125,0.8125,0,0.0008640000014565885,6,16.0,0.36469248842219165,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.242459068555516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.058123581441579995,0.021831725571212903,0.1477556278833835,0.75,0.75,0,0.0025043999776244164,6,16.0,0.4839328547757874,target_sparsity_reached,4,4,0.00020100001711398363,17.166666666666668,True,cholesky_solve,1,0,2.687267153648379,1.0,1.0,0.0,0.0,1.0,0.0,1.0
18,0.25,RMP,64,256,gaussian,gaussian,20.0,0.058123581441579995,0.00763840967951062,0.08739799585522896,0.8125,0.8125,0,0.0009612999856472015,16,16.0,0.3312724368536045,target_sparsity_reached,3,3,0.0004017999744974077,1.0,False,,0,0,2.208251079390547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.25,OMP,64,256,gaussian,gaussian,20.0,0.045378672386809586,0.01473511709365141,0.12138829059530994,0.875,0.875,0,0.0009334000060334802,16,16.0,0.3581036803321306,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.3901360042561786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.045378672386809586,0.13521478038667514,0.36771562434396926,0.6875,0.6875,0,0.0004014000005554408,6,16.0,0.5094284254879043,target_sparsity_reached,5,5,0.0,3.0,False,,0,0,2.495432406083128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.045378672386809586,0.03516255296787251,0.18751680716104493,0.8125,0.8125,0,0.0015295000048354268,6,16.0,0.43707638955402417,target_sparsity_reached,3,3,0.00014039999223314226,17.166666666666668,True,cholesky_solve,1,0,2.84265684203758,1.0,1.0,0.0,0.0,1.0,0.0,1.0
19,0.25,RMP,64,256,gaussian,gaussian,20.0,0.045378672386809586,0.01473511709365145,0.1213882905953101,0.875,0.875,0,0.0009327000007033348,16,16.0,0.3581036803321305,target_sparsity_reached,2,2,0.0003886999620590359,1.0,False,,0,0,2.3901360042561786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
