k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
8,10,Improved-gOMP,baseline,0.001093785002012737,1.1539999832166359e-05,0.0006321580003714189,4.8706995585234836e-05,1.4845001715002581e-05,0.0002559570020821411
8,10,Improved-gOMP,optimized,0.0004503939999267459,2.2533997253049165e-05,0.00024106399723677896,0.00010263100193697028,1.6855996364029124e-05,1.4669967640656978e-06
8,11,Improved-gOMP,baseline,0.002340565002668882,1.472000076319091e-05,0.0013830980024067685,0.0002199140035372693,3.8073001633165404e-05,0.0004947199995513074
8,11,Improved-gOMP,optimized,0.0006822260002081748,1.3925997336627916e-05,0.0004071549992659129,0.00014382100198417902,2.3125994630390778e-05,1.9359977159183472e-06
8,12,Improved-gOMP,baseline,0.0010585390009509865,1.1109998013125733e-05,0.0006129270004748832,4.86250028188806e-05,1.4903998817317188e-05,0.0002447150072839577
8,12,Improved-gOMP,optimized,0.0004514520005614031,1.2426004104781896e-05,0.00023697700089542195,0.00010118300269823521,3.18669990519993e-05,1.4289980754256248e-06
8,13,Improved-gOMP,baseline,0.0012076180028088856,1.4195000403560698e-05,0.0006674760006717406,5.129400233272463e-05,2.8958002076251432e-05,0.0002798870082187932
8,13,Improved-gOMP,optimized,0.00043166199975530617,1.2243999663041905e-05,0.00023419100034516305,0.0001019629962684121,1.7024001863319427e-05,1.368000084767118e-06
8,14,Improved-gOMP,baseline,0.0010702130020945333,1.0771000233944505e-05,0.0006264149997150525,5.679800233338028e-05,1.5476998669328168e-05,0.0002363640051044058
8,14,Improved-gOMP,optimized,0.000783035000495147,1.4681001630378887e-05,0.00035613000000012107,0.00028056299561285414,3.5986999137094244e-05,3.0330011213663965e-06
8,15,Improved-gOMP,baseline,0.001409543001500424,1.4761000784346834e-05,0.0008742339996388182,5.665500430040993e-05,1.8495000404072925e-05,0.0002840270026354119
8,15,Improved-gOMP,optimized,0.0006847449985798448,1.6075999155873433e-05,0.00031818199931876734,0.00022146899937069975,2.881199907278642e-05,1.6759986465331167e-06
8,16,Improved-gOMP,baseline,0.0011271849980403204,1.1918004020117223e-05,0.000666275002004113,5.4023999837227166e-05,1.5224995877360925e-05,0.00025140900106634945
8,16,Improved-gOMP,optimized,0.0007197970007837284,1.3023000065004453e-05,0.00041579699973226525,0.0001339070004178211,2.3566000891150907e-05,1.8190039554610848e-06
8,17,Improved-gOMP,baseline,0.0011097880014858674,1.2421998690115288e-05,0.0006534249987453222,4.914200326311402e-05,1.5300000086426735e-05,0.00025096900208154693
