measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.375,11,OMP,optimized,0.0005593189998762682,5.8072004321729764e-05,2.105400199070573e-05,0.00023524500647909008,7.327599450945854e-05,0.00010374500561738387
0.375,12,OMP,baseline,0.0008763770019868389,5.632900865748525e-05,8.961200001067482e-05,0.0003452969976933673,7.63100033509545e-05,0.0
0.375,12,OMP,optimized,0.0005115350031701382,5.429199154605158e-05,1.9456016161711887e-05,0.00019929699192289263,7.111300874385051e-05,0.00010206999286310747
0.375,13,OMP,baseline,0.0009161710004264023,6.622201181016862e-05,9.199999840348028e-05,0.0003571700108295772,8.881600297172554e-05,0.0
0.375,13,OMP,optimized,0.0004800589995284099,5.361099465517327e-05,1.731499651214108e-05,0.00018647800970938988,6.534299609484151e-05,9.605100422049873e-05
0.375,14,OMP,baseline,0.0008729149994906038,5.909399624215439e-05,8.690200047567487e-05,0.0003548539898474701,7.657299283891916e-05,0.0
0.375,14,OMP,optimized,0.0005038329982198775,4.812899715034291e-05,1.9385992345632985e-05,0.0002024749992415309,6.825900345575064e-05,0.00010071798897115514
0.375,15,OMP,baseline,0.0013496700012183283,9.53880044107791e-05,0.00014341800488182344,0.0005114319938002154,0.00014980499690864235,0.0
0.375,15,OMP,optimized,0.0004928439993818756,5.3430998377734795e-05,2.8544985980261117e-05,0.0001882210017356556,6.48339992039837e-05,9.645898899179883e-05
0.375,16,OMP,baseline,0.0009089890008908696,5.6430009863106534e-05,9.293300536228344e-05,0.0003674360050354153,8.352099393960088e-05,0.0
0.375,16,OMP,optimized,0.00046410600043600425,4.490400169743225e-05,1.7761994968168437e-05,0.0001821830046537798,6.326299990178086e-05,9.563200001139194e-05
0.375,17,OMP,baseline,0.0009428029989066999,6.329399184323847e-05,9.689799844636582e-05,0.00037089799661771394,8.751399946049787e-05,0.0
0.375,17,OMP,optimized,0.000573741999687627,5.784200402558781e-05,2.109399065375328e-05,0.00022512999930768274,7.681000352022238e-05,0.00010701799692469649
0.375,18,OMP,baseline,0.001104807000956498,6.774499706807546e-05,0.00010071299766423181,0.00044595000508707017,0.0001195719960378483,0.0
0.375,18,OMP,optimized,0.000472320996777853,4.5215994759928435e-05,1.9060997146880254e-05,0.00018599200120661408,6.425000174203888e-05,9.788599345483817e-05
0.375,19,OMP,baseline,0.0009149739998974837,6.283598850131966e-05,8.873699698597193e-05,0.0003428979980526492,0.0001010570085782092,0.0
0.375,19,OMP,optimized,0.00048274800064973533,5.328401311999187e-05,1.8077003915095702e-05,0.00018350800382904708,6.528499216074124e-05,9.589299588697031e-05
0.4375,0,OMP,baseline,0.0012951660028193146,7.590098903165199e-05,0.00012220500866533257,0.0004980669909855351,0.00014471199392573908,0.0
0.4375,0,OMP,optimized,0.0006780059993616305,5.0166996516054496e-05,2.240399771835655e-05,0.0003420059983909596,8.392400195589289e-05,0.00010267400648444891
0.4375,1,OMP,baseline,0.0009903220015985426,6.999300603638403e-05,9.83889949566219e-05,0.00040036798964138143,0.00010011999984271824,0.0
0.4375,1,OMP,optimized,0.0005222750005486887,6.116798977018334e-05,1.9650997273856774e-05,0.00020469900482567027,7.073398228385486e-05,0.00010249899059999734
0.4375,2,OMP,baseline,0.0009169600016321056,5.7999001001007855e-05,9.014800525619648e-05,0.00037397999403765425,8.58410021464806e-05,0.0
0.4375,2,OMP,optimized,0.0005044339995947666,5.242798579274677e-05,1.9074006559094414e-05,0.00019455100482446142,7.060799907776527e-05,0.00010207099694525823
0.4375,3,OMP,baseline,0.0008746950006752741,6.715600829920731e-05,8.665300265420228e-05,0.00034162499650847167,9.103499542106874e-05,0.0
0.4375,3,OMP,optimized,0.0005827749992022291,6.266700438573025e-05,2.130600478267297e-05,0.00024856000163708813,7.681699571548961e-05,0.0001067120028892532
0.4375,4,OMP,baseline,0.0008746659987082239,5.724600123357959e-05,9.190401033265516e-05,0.00035305199344293214,7.667099998798221e-05,0.0
0.4375,4,OMP,optimized,0.00046426799963228405,4.920399442198686e-05,1.8167993403039873e-05,0.000178210004378343,6.473199755419046e-05,9.561000115354545e-05
0.4375,5,OMP,baseline,0.0009592469978088047,7.245799861266278e-05,9.51430010900367e-05,0.0003581999881134834,9.519699960947037e-05,0.0
0.4375,5,OMP,optimized,0.0005103889998281375,5.959000191069208e-05,2.1777999791083857e-05,0.0001981049972528126,6.894999751239084e-05,9.772400153451599e-05
0.4375,6,OMP,baseline,0.0009722619979584124,5.831500675412826e-05,9.47399967117235e-05,0.0003916360001312569,9.06470013433136e-05,0.0
0.4375,6,OMP,optimized,0.0005340329989849124,4.8817000788403675e-05,1.965100091183558e-05,0.00019522200454957783,7.078100679791532e-05,0.00011290899783489294
0.4375,7,OMP,baseline,0.0010920709974016063,7.253799049067311e-05,0.0001019100018311292,0.0004390259855426848,0.00013185500574763864,0.0
0.4375,7,OMP,optimized,0.0005036700022174045,6.201499854796566e-05,1.9285995222162455e-05,0.0001914209933602251,6.681898594251834e-05,0.00010013299834099598
0.4375,8,OMP,baseline,0.0010565259981376585,7.183800335042179e-05,0.00011231299504288472,0.0003780409970204346,0.0001655750056670513,0.0
0.4375,8,OMP,optimized,0.0004720739998447243,5.036698712501675e-05,1.7215006664628163e-05,0.000183020001713885,6.517799920402467e-05,9.520700405118987e-05
0.4375,9,OMP,baseline,0.0009546690016577486,6.848099656053819e-05,0.00011124100637971424,0.00036457499663811177,9.727199358167127e-05,0.0
0.4375,9,OMP,optimized,0.0005104939991724677,6.212699372554198e-05,1.8762002582661808e-05,0.00019394199625821784,7.21280011930503e-05,0.00010139499499928206
0.4375,10,OMP,baseline,0.0008662049986014608,6.078600199543871e-05,8.732499190955423e-05,0.0003419339991523884,8.617999992566183e-05,0.0
0.4375,10,OMP,optimized,0.0005095909982628655,5.2810999477515e-05,2.283499634359032e-05,0.00020105400108150207,6.963600390008651e-05,0.00010043999645859003
0.4375,11,OMP,baseline,0.000963992002652958,6.9089001044631e-05,0.00010819299859576859,0.00036574398836819455,0.00010765398837975226,0.0
