coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,67,Improved-gOMP,baseline,0.0030060989956837147,3.546899824868888e-05,0.00204785299138166,0.0002513870131224394,5.3692987421527505e-05,0.00017066998407244682
gaussian,67,Improved-gOMP,optimized,0.0014385309914359823,2.5607994757592678e-05,0.0006932790129212663,0.0003039209987036884,7.07619619788602e-05,0.00015860001440159976
gaussian,68,Improved-gOMP,baseline,0.0035037380002904683,3.60029807779938e-05,0.002517903019906953,0.00021644597291015089,6.971901166252792e-05,0.00018737101345323026
gaussian,68,Improved-gOMP,optimized,0.0018312019965378568,3.774999640882015e-05,0.0009470020013395697,0.0003540719917509705,7.355900015681982e-05,0.000177071982761845
gaussian,69,Improved-gOMP,baseline,0.0021432579960674047,2.9881004593335092e-05,0.0016157099889824167,0.00015243401867337525,3.679998917505145e-05,3.6769924918189645e-06
gaussian,69,Improved-gOMP,optimized,0.001034133994835429,2.4254986783489585e-05,0.0006049759977031499,0.00023110398615244776,3.4263008274137974e-05,2.8160138754174113e-06
gaussian,70,Improved-gOMP,baseline,0.003930715000024065,4.3563006329350173e-05,0.002545625960920006,0.00022717498359270394,4.964499385096133e-05,0.0005815140320919454
gaussian,70,Improved-gOMP,optimized,0.001690044009592384,3.250798908993602e-05,0.0008649939991300926,0.00035332399420440197,5.27340016560629e-05,0.0001842900092015043
gaussian,71,Improved-gOMP,baseline,0.0062901579949539155,6.746100552845746e-05,0.004436575996805914,0.0005548010085476562,0.0001084549876395613,0.0003282079997006804
gaussian,71,Improved-gOMP,optimized,0.0021281189983710647,5.0999020459130406e-05,0.0011325239902362227,0.00047038398042786866,6.96889910614118e-05,0.00013701400894206017
gaussian,72,Improved-gOMP,baseline,0.0022553960006916896,3.116796142421663e-05,0.001684889997704886,0.00016262098506558686,4.647100286092609e-05,4.332003300078213e-06
gaussian,72,Improved-gOMP,optimized,0.0011324790102662519,3.278901567682624e-05,0.0006150069966679439,0.0002696169976843521,4.5060995034873486e-05,3.2059760997071862e-06
gaussian,73,Improved-gOMP,baseline,0.0038835500017739832,3.756501246243715e-05,0.002502971008652821,0.00026559497928246856,5.902301927562803e-05,0.0005446360300993547
gaussian,73,Improved-gOMP,optimized,0.0016149739967659116,3.203499363735318e-05,0.0008503319841111079,0.0003147350071230903,8.181399607565254e-05,0.00013299401325639337
gaussian,74,Improved-gOMP,baseline,0.002009290998103097,2.9754985007457435e-05,0.0014958309911889955,0.0001545560226077214,4.481300129555166e-05,3.4030090318992734e-06
gaussian,74,Improved-gOMP,optimized,0.0010910599958151579,2.7135014533996582e-05,0.0006205009995028377,0.000240953013417311,5.004201375413686e-05,2.9239890864118934e-06
gaussian,75,Improved-gOMP,baseline,0.0028132190054748207,3.365598968230188e-05,0.0018020389834418893,0.00019312799850013107,3.9076010580174625e-05,0.0002608270006021485
gaussian,75,Improved-gOMP,optimized,0.0011726779921445996,2.8368012863211334e-05,0.00063863601826597,0.0002621320018079132,4.426800296641886e-05,3.5420089261606336e-06
gaussian,76,Improved-gOMP,baseline,0.0028250930045032874,3.720200038515031e-05,0.0018867660110117868,0.0002519479749025777,5.8044985053129494e-05,0.00016202499682549387
gaussian,76,Improved-gOMP,optimized,0.0013246890011942014,3.0287978006526828e-05,0.0006543569907080382,0.0002633150143083185,4.813901614397764e-05,0.00015093099500518292
gaussian,77,Improved-gOMP,baseline,0.004747156010125764,5.854299524798989e-05,0.0033581170137040317,0.0003853300149785355,8.365199028048664e-05,0.0003000049910042435
gaussian,77,Improved-gOMP,optimized,0.001250503002665937,2.593899262137711e-05,0.0007218920072773471,0.00027092601521871984,4.944599641021341e-05,3.374996595084667e-06
gaussian,78,Improved-gOMP,baseline,0.0025923259963747114,4.783703479915857e-05,0.0017577160033397377,0.00018094599363394082,4.55109984613955e-05,0.00019903801148757339
gaussian,78,Improved-gOMP,optimized,0.0012743450060952455,5.019801028538495e-05,0.000682118974509649,0.0003066070203203708,5.367300764191896e-05,3.077017026953399e-06
gaussian,79,Improved-gOMP,baseline,0.0027232559950789437,2.765798126347363e-05,0.0019452029810054228,0.00017891400784719735,3.403298615012318e-05,0.00016449698887299746
gaussian,79,Improved-gOMP,optimized,0.0011130829952890053,2.602703170850873e-05,0.0006706839922117069,0.0002358250058023259,3.882699820678681e-05,2.7629866963252425e-06
gaussian,80,Improved-gOMP,baseline,0.0022538539924426004,2.799399953801185e-05,0.0017406499828211963,0.00014630799705628306,3.9659018511883914e-05,8.764996891841292e-06
gaussian,80,Improved-gOMP,optimized,0.0010031139972852543,3.165799716953188e-05,0.0005583820020547137,0.00021949299843981862,4.275396349839866e-05,2.945991582237184e-06
gaussian,81,Improved-gOMP,baseline,0.005285181003273465,5.736800085287541e-05,0.0037795560056110844,0.0003583340148907155,8.740799967199564e-05,0.00033661400084383786
gaussian,81,Improved-gOMP,optimized,0.0017442579992348328,4.441199416760355e-05,0.0009803960128920153,0.0004003149952040985,7.139900117181242e-05,5.106019671075046e-06
gaussian,82,Improved-gOMP,baseline,0.0046612720034318045,5.220400635153055e-05,0.003159626998240128,0.0003647520061349496,7.561499660369009e-05,0.00036597400321625173
gaussian,82,Improved-gOMP,optimized,0.002883797002141364,5.9972997405566275e-05,0.0015120430034585297,0.0006025700276950374,8.928700117394328e-05,0.00027110900555271655
