k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,41,OMP,baseline,0.0002144839963875711,1.8988997908309102e-05,3.33840143866837e-05,6.808598118368536e-05,2.6648020138964057e-05,0.0
4,41,OMP,optimized,0.0001565329876029864,1.687700569164008e-05,8.301009074784815e-06,5.60580228921026e-05,1.7196012777276337e-05,2.7570014935918152e-05
4,42,OMP,baseline,0.00021172300330363214,1.9206010620109737e-05,3.1643008696846664e-05,6.746001599822193e-05,2.5387998903170228e-05,0.0
4,42,OMP,optimized,0.00016889300604816526,1.7256985302083194e-05,7.7299919212237e-06,6.494400440715253e-05,1.8600010662339628e-05,2.7754998882301152e-05
4,43,OMP,baseline,0.00020080999820493162,1.8592007108964026e-05,2.863499685190618e-05,6.417999975383282e-05,2.4070017389021814e-05,0.0
4,43,OMP,optimized,0.00016162899555638433,1.8069986253976822e-05,8.360002539120615e-06,5.887102452106774e-05,1.8096005078405142e-05,2.7507994673214853e-05
4,44,OMP,baseline,0.00019547400006558746,2.0727995433844626e-05,2.7556015993468463e-05,6.212601147126406e-05,2.238698652945459e-05,0.0
4,44,OMP,optimized,0.00015505899500567466,1.6589998267591e-05,7.418988388963044e-06,5.713400605600327e-05,1.6955003957264125e-05,2.7309011784382164e-05
4,45,OMP,baseline,0.00021928800560999662,1.9619008526206017e-05,3.1987015972845256e-05,7.207300222944468e-05,2.6253997930325568e-05,0.0
4,45,OMP,optimized,0.00015749700833112001,1.5981000615283847e-05,1.1045995051972568e-05,5.629697989206761e-05,1.728901406750083e-05,2.8748021577484906e-05
4,46,OMP,baseline,0.0002541090070735663,2.3550979676656425e-05,3.7892983527854085e-05,7.899798220023513e-05,2.94780038530007e-05,0.0
4,46,OMP,optimized,0.00035243800084572285,6.834400119259953e-05,1.6682010027579963e-05,0.00011460800305940211,4.234400694258511e-05,5.264600622467697e-05
4,47,OMP,baseline,0.0002477770030964166,2.6009001885540783e-05,3.3451986382715404e-05,7.101798837538809e-05,2.7466987376101315e-05,0.0
4,47,OMP,optimized,0.00016630199388600886,1.7888989532366395e-05,9.218987543135881e-06,6.099200982134789e-05,1.779601734597236e-05,2.9769973480142653e-05
4,48,OMP,baseline,0.00024269400455523282,1.9349012291058898e-05,3.43149877153337e-05,8.601001172792166e-05,2.962601138278842e-05,0.0
4,48,OMP,optimized,0.00017094600480049849,1.8098988221026957e-05,8.851973689161241e-06,6.143502832856029e-05,1.8591017578728497e-05,3.0296010663732886e-05
4,49,OMP,baseline,0.0002063389983959496,1.9437982700765133e-05,2.9332004487514496e-05,6.588398537132889e-05,2.569600474089384e-05,0.0
