k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,66,gOMP,optimized,7.93149956734851e-05,6.636997568421066e-06,1.7753001884557307e-05,2.498700632713735e-05,7.705006282776594e-06,0.0
4,67,gOMP,baseline,0.00011386300320737064,6.968009984120727e-06,2.3491986212320626e-05,3.666197881102562e-05,1.0710995411500335e-05,0.0
4,67,gOMP,optimized,7.932500739116222e-05,6.762988050468266e-06,1.812301343306899e-05,2.5551009457558393e-05,7.484995876438916e-06,0.0
4,68,gOMP,baseline,0.00011432499741204083,7.586015271954238e-06,2.2588996216654778e-05,3.396399552002549e-05,1.0914984159171581e-05,0.0
4,68,gOMP,optimized,8.485099533572793e-05,6.9359957706183195e-06,1.882899960037321e-05,2.680400211829692e-05,8.35300306789577e-06,0.0
4,69,gOMP,baseline,0.00011296798766124994,7.572001777589321e-06,2.310299896635115e-05,3.4963988582603633e-05,1.0599003871902823e-05,0.0
4,69,gOMP,optimized,8.481500844936818e-05,7.447015377692878e-06,1.842099300120026e-05,2.67810100922361e-05,8.278002496808767e-06,0.0
4,70,gOMP,baseline,0.00012994500866625458,8.884991984814405e-06,2.566500916145742e-05,4.016801540274173e-05,1.374099520035088e-05,0.0
4,70,gOMP,optimized,0.0001962630049092695,1.2634001905098557e-05,3.7438992876559496e-05,5.242999759502709e-05,4.082900704815984e-05,0.0
4,71,gOMP,baseline,0.00015210799756459892,2.2209002054296434e-05,3.017799463123083e-05,4.347099456936121e-05,1.3846001820638776e-05,0.0
4,71,gOMP,optimized,8.712698763702065e-05,7.1590038714930415e-06,1.934899773914367e-05,2.860899257939309e-05,8.26800533104688e-06,0.0
4,72,gOMP,baseline,0.0001223110011778772,7.368988008238375e-06,2.4936001864261925e-05,3.9503982407040894e-05,1.1879994417540729e-05,0.0
4,72,gOMP,optimized,8.87829955900088e-05,8.222006727010012e-06,1.923201489262283e-05,2.849100565072149e-05,8.013987098820508e-06,0.0
4,73,gOMP,baseline,0.00012076199345756322,7.1820104494690895e-06,2.4644003133289516e-05,3.891400410793722e-05,1.1021998943760991e-05,0.0
4,73,gOMP,optimized,8.091999916359782e-05,6.561007467098534e-06,1.823600905481726e-05,2.5177010684274137e-05,7.987997378222644e-06,0.0
4,74,gOMP,baseline,0.00013364000187721103,7.5669813668355346e-06,3.170399577356875e-05,4.037999315187335e-05,1.2793010682798922e-05,0.0
4,74,gOMP,optimized,8.629501098766923e-05,7.199996616691351e-06,2.210799721069634e-05,2.549900091253221e-05,8.1699836300686e-06,0.0
4,75,gOMP,baseline,0.00012727199646178633,7.90000194683671e-06,2.425200364086777e-05,4.115101182833314e-05,1.1376003385521472e-05,0.0
4,75,gOMP,optimized,8.219698793254793e-05,6.995993317104876e-06,1.8502993043512106e-05,2.5936009478755295e-05,7.992013706825674e-06,0.0
4,76,gOMP,baseline,0.0004166970029473305,1.713300298433751e-05,4.0539001929573715e-05,0.00019334099488332868,3.562301571946591e-05,0.0
4,76,gOMP,optimized,0.0001613589993212372,1.1085998266935349e-05,2.9006987460888922e-05,4.062600783072412e-05,1.0885996744036674e-05,0.0
4,77,gOMP,baseline,0.0001276359980693087,8.13799852039665e-06,2.7040994609706104e-05,4.145999264437705e-05,1.1388998245820403e-05,0.0
4,77,gOMP,optimized,8.402799721807241e-05,7.1150134317576885e-06,1.8547012587077916e-05,2.618199505377561e-05,8.193994290195405e-06,0.0
4,78,gOMP,baseline,0.00011708699457813054,8.239003363996744e-06,2.320700150448829e-05,3.669799480121583e-05,1.0666000889614224e-05,0.0
4,78,gOMP,optimized,0.0001383010094286874,1.0272007784806192e-05,4.709699715021998e-05,3.505998756736517e-05,1.3873999705538154e-05,0.0
4,79,gOMP,baseline,0.00011818099301308393,7.52799678593874e-06,2.2396023268811405e-05,3.860899596475065e-05,1.0938994819298387e-05,0.0
4,79,gOMP,optimized,0.00027791298634838313,1.3191005564294755e-05,0.000124072001199238,7.207298767752945e-05,1.9777988200075924e-05,0.0
4,80,gOMP,baseline,0.00011261699546594173,7.654991350136697e-06,2.3550004698336124e-05,3.540300531312823e-05,1.0400995961390436e-05,0.0
4,80,gOMP,optimized,7.598400407005101e-05,6.6490028984844685e-06,1.694499223958701e-05,2.3511980543844402e-05,7.423994247801602e-06,0.0
4,81,gOMP,baseline,0.00011342400102876127,7.766007911413908e-06,2.2419990273192525e-05,3.373100480530411e-05,1.1340001947246492e-05,0.0
4,81,gOMP,optimized,9.61479963734746e-05,1.2291988241486251e-05,2.0262988982722163e-05,2.8968992410227656e-05,8.9270033640787e-06,0.0
4,82,gOMP,baseline,0.00012949500523973256,8.103001164272428e-06,2.677399606909603e-05,4.0659011574462056e-05,1.1795986210927367e-05,0.0
4,82,gOMP,optimized,8.960999548435211e-05,7.1829999797046185e-06,1.907099795062095e-05,2.7398011297918856e-05,8.233997505158186e-06,0.0
4,83,gOMP,baseline,0.00012295300257392228,8.46901093609631e-06,2.7824004064314067e-05,3.6509998608380556e-05,1.2338015949353576e-05,0.0
4,83,gOMP,optimized,8.858399814926088e-05,7.87799945101142e-06,1.855500158853829e-05,2.900398976635188e-05,8.821996743790805e-06,0.0
4,84,gOMP,baseline,0.00010727500193752348,6.786984158679843e-06,2.284299989696592e-05,3.335499786771834e-05,1.0140007361769676e-05,0.0
4,84,gOMP,optimized,8.886700379662216e-05,7.902010111138225e-06,1.7304017092101276e-05,3.1760006095282733e-05,7.947994163259864e-06,0.0
4,85,gOMP,baseline,0.00012784000136889517,1.064599200617522e-05,2.793100429698825e-05,4.02979931095615e-05,1.0803007171489298e-05,0.0
4,85,gOMP,optimized,8.598399290349334e-05,7.2020047809928656e-06,1.7880985978990793e-05,2.7120011509396136e-05,8.49699426908046e-06,0.0
4,86,gOMP,baseline,0.00013272800424601883,8.937990060076118e-06,3.0433002393692732e-05,4.091400478500873e-05,1.2275006156414747e-05,0.0
