trial,screening_ratio,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,group_size
30,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.033012889164388985,0.0042660646358094485,0.06531511797286635,0.9375,1.0,0,0.001897039997857064,6,15.0,0.3461947417786616,noise_floor,0,1,0.0002452169719617814,11.666666666666666,True,,0,0,2.004390096146069,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,4.058099875692278e-05,0.0008239610033342615,0.0003818260011030361,7.251696661114693e-05,0.0001375030115013942,
31,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.033139559269749035,0.005152009696451393,0.07177750132493742,0.875,0.875,0,0.0017636119882808998,6,16.0,0.3150606356311294,target_sparsity_reached,2,2,0.00021042001026216894,12.5,True,,0,0,2.129467973853438,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.368599573150277e-05,0.0007974760083016008,0.00033960698056034744,5.797801713924855e-05,0.0001419879699824378,
32,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04590862027711617,0.004893370676097653,0.06995263165955698,0.8125,1.0,0,0.001602771008037962,5,13.0,0.42422911325659424,noise_floor,0,3,0.00013971699809189886,13.0,True,,0,0,2.094534285371549,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,3.3015021472238004e-05,0.0009233739983756095,0.00029528098821174353,5.068499012850225e-05,3.1039962777867913e-06,
33,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.044640641674437195,0.006065944905968025,0.07788417622320996,0.9375,0.9375,0,0.0018466289911884815,6,16.0,0.41953150524019545,target_sparsity_reached,1,1,0.00016566200065426528,12.5,True,,0,0,2.0748104406447485,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.2814976293593645e-05,0.0008670250099385157,0.0003160330088576302,6.109201058279723e-05,0.00016119200154207647,
34,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.043384402524508474,0.002246662218708464,0.047398968540554386,0.875,0.875,0,0.0015384589933091775,6,16.0,0.34784345856391163,target_sparsity_reached,2,2,0.0001528689608676359,12.5,True,,0,0,2.05271624488585,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.535900032147765e-05,0.0006919950246810913,0.0002670019894139841,4.3221996747888625e-05,0.00012986997899133712,
35,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.042749628920706384,0.004378374504455814,0.06616928671563427,0.9375,1.0,0,0.0016292570071527734,6,15.0,0.421382457285358,noise_floor,0,1,0.0001709349890006706,11.666666666666666,True,,0,0,1.95542015027648,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,2.82849941868335e-05,0.0007730440120212734,0.00027389299066271633,5.1444993005134165e-05,0.00011940098193008453,
36,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.032684724490523794,0.0032510134725562763,0.057017659304431964,0.75,1.0,0,0.0009864250023383647,5,12.0,0.3317881981212527,noise_floor,0,4,9.605997183825821e-05,12.0,True,,0,0,1.78733547567439,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4584.0,768.0,2048.0,0.0,1152.0,96.0,312.0,48.0,40.0,40.0,40.0,40.0,0.0,2.6121997507289052e-05,0.0005053339991718531,0.0001895869936561212,3.5994991776533425e-05,2.768996637314558e-06,
37,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.033690962268033794,0.006362604829897032,0.07976593777983829,0.75,1.0,0,0.001187039990327321,5,12.0,0.34376509046366427,noise_floor,0,4,0.00010583900439087301,12.0,True,,0,0,1.772890764509231,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4584.0,768.0,2048.0,0.0,1152.0,96.0,312.0,48.0,40.0,40.0,40.0,40.0,0.0,2.2267995518632233e-05,0.0005842230166308582,0.00030817202059552073,3.4478012821637094e-05,2.677013981156051e-06,
38,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.025210685927428676,0.08024087905040383,0.2832682104479849,0.8125,0.8125,0,0.003091115999268368,5,16.0,0.6298932396134121,target_sparsity_reached,3,3,0.0002605799963930622,14.8,True,,0,0,2.319328155871759,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5568.0,768.0,2048.0,0.0,2048.0,128.0,368.0,48.0,40.0,40.0,40.0,40.0,0.0,6.487101200036705e-05,0.0015332640032283962,0.0005395609914558008,9.523196786176413e-05,0.00020678897271864116,
39,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.05040459439870611,0.001924662892853837,0.043870980076285475,0.9375,0.9375,0,0.002393386996118352,7,16.0,0.4934908661781887,target_sparsity_reached,1,1,0.0001909440034069121,10.714285714285714,True,,0,0,2.3763793126743677,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5840.0,768.0,2048.0,0.0,2048.0,128.0,560.0,64.0,56.0,56.0,56.0,56.0,0.0,4.7841022023931146e-05,0.0008785219979472458,0.0003153569996356964,6.3219980802387e-05,0.0006280689703999087,
40,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03321505404422812,0.006513892244338577,0.08070868753943763,0.8125,1.0,0,0.0013080889912089333,5,13.0,0.3354407440184699,noise_floor,0,3,0.00013367901556193829,13.0,True,,0,0,1.8637195566058926,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,4.8528003389947116e-05,0.0006554350111400709,0.00025464499776717275,4.484399687498808e-05,3.103981725871563e-06,
