trial,coeff_mode,algorithm,m,n,measurement_ratio,matrix_kind,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
17,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.05536626128597515,0.0032815139223349474,0.05728449984363088,0.9375,0.9375,0,0.0003935999993700534,6,16.0,0.5126816774299964,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,2.2604184784058425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.05536626128597515,0.0025318009184823066,0.05031700426776525,0.9375,0.9375,0,0.0019036000012420118,6,16.0,0.521602608818889,target_sparsity_reached,1,1,0.0001707999617792666,17.666666666666668,True,cholesky_solve,1,0,2.3076054171963913,1.0,1.0,0.0,0.0,1.0,0.0,1.0
18,gaussian,OMP,96,256,0.375,gaussian,20.0,0.0334419285272172,0.003954707648567445,0.06288646633869203,0.9375,0.9375,0,0.0011215999838896096,16,16.0,0.28122042753338894,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.897927698728645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.0334419285272172,0.010459215134111181,0.10227030426331576,0.8125,0.8125,0,0.0008682000043336302,6,16.0,0.32001467705998354,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.084218550292031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.0334419285272172,0.0043377234925161675,0.06586139607172146,0.875,0.875,0,0.0017399000062141567,6,16.0,0.2990453736754618,target_sparsity_reached,2,2,0.00016220001270994544,17.666666666666668,True,cholesky_solve,1,0,2.072551605214552,1.0,1.0,0.0,0.0,1.0,0.0,1.0
19,gaussian,OMP,96,256,0.375,gaussian,20.0,0.033861627545500206,0.00288042394382316,0.05366958117801145,0.9375,0.9375,0,0.0010276000248268247,16,16.0,0.2683509711424721,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.025964545881752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.033861627545500206,0.0020480671199902094,0.04525557556799172,0.9375,0.9375,0,0.0003952999832108617,6,16.0,0.2736640364680427,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.8135788145379281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.033861627545500206,0.0014082613389362942,0.037526808270039354,0.9375,0.9375,0,0.0015514999977312982,6,16.0,0.2838486925269458,target_sparsity_reached,1,1,0.00013850003597326577,17.833333333333332,True,cholesky_solve,1,0,2.226937929075769,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0,rademacher,OMP,96,256,0.375,gaussian,20.0,0.04047876201837465,0.004001142772781292,0.06325458697028455,1.0,1.0,1,0.0009797000093385577,16,16.0,0.3679379645271453,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,2.1426285728668257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,rademacher,gOMP,96,256,0.375,gaussian,20.0,0.04047876201837465,0.08750240385640305,0.29580805238600766,0.9375,0.9375,0,0.0003964999923482537,6,16.0,0.9422488208565293,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,2.174104883658317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
