measurement_ratio,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.1875,57,Improved-gOMP,baseline,3280.0,384.0,2048.0,0.0,0.0,0.0,560.0,64.0,56.0,56.0,56.0,56.0,0.0
0.1875,57,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,58,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,58,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,59,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,59,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,60,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,60,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,61,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,61,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,62,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,62,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,63,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,63,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,64,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,64,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,65,Improved-gOMP,baseline,2976.0,384.0,2048.0,0.0,0.0,0.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,65,Improved-gOMP,optimized,3472.0,384.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
0.1875,66,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,66,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,67,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,67,Improved-gOMP,optimized,4088.0,384.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,68,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,68,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,69,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,69,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,70,Improved-gOMP,baseline,2952.0,384.0,2048.0,0.0,0.0,0.0,312.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,70,Improved-gOMP,optimized,3472.0,384.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
0.1875,71,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,71,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,72,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,72,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,73,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,73,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,74,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,74,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,75,Improved-gOMP,baseline,3112.0,384.0,2048.0,0.0,0.0,0.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,75,Improved-gOMP,optimized,4584.0,384.0,2048.0,0.0,1800.0,120.0,120.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,76,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,76,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,77,Improved-gOMP,baseline,3000.0,384.0,2048.0,0.0,0.0,0.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,77,Improved-gOMP,optimized,3472.0,384.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
0.1875,78,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,78,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,79,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,79,Improved-gOMP,optimized,4832.0,384.0,2048.0,0.0,2048.0,128.0,128.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,80,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,80,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,81,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,81,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,82,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,82,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,83,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,83,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,84,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,84,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,85,Improved-gOMP,baseline,3112.0,384.0,2048.0,0.0,0.0,0.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,85,Improved-gOMP,optimized,4864.0,384.0,2048.0,0.0,2048.0,128.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0
0.1875,86,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,86,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,87,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,87,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,88,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,88,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,89,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,89,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
