trial,k,algorithm,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
13,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.02298364443598282,0.0008202688958662698,0.02864033686719257,1.0,1.0,1,0.0001674999948590994,4,4.0,0.21890802877476778,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.4013588575165303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02298364443598282,0.0008202688958662698,0.02864033686719257,1.0,1.0,1,9.869999485090375e-05,2,4.0,0.21890802877476778,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.4013588575165303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.02298364443598282,0.0008202688976261063,0.02864033689791561,1.0,1.0,1,0.0004110999871045351,2,4.0,0.21890802877476778,target_sparsity_reached,0,0,3.500000457279384e-05,14.5,True,,0,0,1.4013588575165303,0.0,0.0,0.0,0.0,1.0,0.0,1.0
14,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.005269414516243114,0.00023166893489776557,0.01522067458747363,1.0,1.0,1,0.00018100001034326851,4,4.0,0.050561783071845605,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.3185745608912984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.005269414516243114,0.006100846953907725,0.07810791863766263,0.75,0.75,0,8.72999953571707e-05,2,4.0,0.06951261849380777,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.4760107687649984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.005269414516243114,0.00023166893489776557,0.01522067458747363,1.0,1.0,1,0.0004852999991271645,2,4.0,0.050561783071845605,target_sparsity_reached,0,0,3.9799982914701104e-05,15.0,True,,0,0,1.4423870934970637,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.018235327468670712,0.0003820596734524475,0.019546346805795898,1.0,1.0,1,0.00019439999596215785,4,4.0,0.17406300330145355,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.2955174178504754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.018235327468670712,0.0003820596734524475,0.019546346805795898,1.0,1.0,1,0.00010869998368434608,2,4.0,0.17406300330145355,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.2955174178504754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.018235327468670712,0.0003820596738398625,0.01954634681570606,1.0,1.0,1,0.0004800999886356294,2,4.0,0.17406300330145352,target_sparsity_reached,0,0,3.9099977584555745e-05,15.0,True,,0,0,1.2955174178504754,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.012688544712348992,0.00017828560187848233,0.013352363157077564,1.0,1.0,1,0.000321899977279827,4,4.0,0.12610996281739945,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.17108230803151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
