measurement_ratio,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.3125,RMP,baseline,0.04667664358060152,0.20861392521263264,0.79375,0.79375,0.006666666666666667,0.0011328317399602384,16.0,16.0,0.7212585011565742,3.3,3.3,0.00044332169680274093,1.0,0.0,0.0,2.3520284589514553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.548400581271077e-05,4.1762168208758036e-05,0.00043638881237711757,0.0001772010164859239,0.0,4176.0,640.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
0.3125,RMP,optimized,0.046676643622951104,0.20861392531732428,0.79375,0.79375,0.006666666666666667,0.0006059906700102147,16.0,16.0,0.7212585014188775,3.3,3.3,0.00014065002809123447,1.0,0.0,0.0,2.3520284589514553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.135441965345914e-05,3.426218347158283e-05,0.00014065002809123447,0.00015925833091993505,0.00012895859971952936,3344.0,640.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.3125,gOMP,baseline,0.015599303119807688,0.10504924054494724,0.8345833333333333,0.8345833333333333,0.02,0.0005429823466693051,6.0,16.0,0.3869703310313992,2.6466666666666665,2.6466666666666665,0.00020649125493946486,3.0,0.0,0.0,2.378783789511335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8427395979330564e-05,8.403278140273566e-05,0.00020649125493946486,4.362545917198683e-05,0.0,3536.0,640.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
0.3125,gOMP,optimized,0.015599303121151742,0.10504924055002994,0.8345833333333333,0.8345833333333333,0.02,0.0002810463461598071,6.0,16.0,0.3869703310313992,2.6466666666666665,2.6466666666666665,9.932136468705721e-05,3.0,0.0,0.0,2.378783789511335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5075157075965156e-05,6.394557004872089e-05,9.932136468705721e-05,3.344557912593397e-05,0.0,1088.0,640.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
0.375,Improved-gOMP,baseline,0.0071150136928294465,0.07768391271671493,0.8533333333333334,0.882409188034188,0.04666666666666667,0.0026021810233942235,5.846666666666667,15.5,0.38757361221698133,1.8466666666666667,2.3466666666666667,0.00021123165332634624,17.771079365079366,0.0,0.0,2.1076220760391426,0.88,0.88,1.0,1.0,1.0,1.0,0.0,3.1925704824971035e-05,0.0018120590264637333,0.00017618427009438164,3.972187395750856e-05,0.00019515337994865454,3504.346666666667,768.0,2048.0,0.0,0.0,0.0,446.48,54.77333333333333,46.77333333333333,46.77333333333333,46.77333333333333,46.77333333333333,0.0
0.375,Improved-gOMP,optimized,0.00530695370114939,0.06901640506734921,0.8733333333333333,0.9330213675213676,0.09666666666666666,0.0013466194199766809,5.723333333333334,15.01,0.37095454937445027,1.0366666666666666,2.026666666666667,0.00022153077040760157,0.0,0.0,0.0,2.0368697691757247,0.7633333333333333,0.7633333333333333,0.0,0.0,1.0,0.0,1.0,2.7167283891079328e-05,0.0006555478793840545,0.00033166131242372407,4.3906140247903144e-05,0.0001249105557508301,4982.373333333333,768.0,2048.0,0.0,1818.64,120.08,120.08,53.78666666666667,45.78666666666667,0.0,0.0,8.0,0.0
0.375,OMP,baseline,0.00465934937260798,0.06579437064969064,0.904375,0.904375,0.15666666666666668,0.0011249498598044738,16.0,16.0,0.3384104082712956,1.53,1.53,0.0004356313558431187,1.0,0.0,0.0,2.0507889357612963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.639228094679614e-05,0.00012646017979326036,0.0004356313558431187,0.00011156701085080082,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
0.375,OMP,optimized,0.004659349371691569,0.06579437064257164,0.904375,0.904375,0.15666666666666668,0.0006048148939832269,16.0,16.0,0.3384104082712956,1.53,1.53,0.0002359366762296607,1.0,0.0,0.0,2.0507889357612963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16490262230703e-05,2.5461761542828753e-05,0.0002359366762296607,8.156697134836577e-05,0.00012328555710458506,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.375,RMP,baseline,0.03685878874058152,0.18987940762042946,0.8202083333333333,0.8202083333333333,0.013333333333333334,0.0011015792232744086,16.0,16.0,0.7144794664590381,2.8766666666666665,2.8766666666666665,0.0004291456142285218,1.0,0.0,0.0,2.164247640128559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.627062312366131e-05,4.096487895973648e-05,0.00042255100333325876,0.00017206813233012024,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
0.375,RMP,optimized,0.03685878877853229,0.18987940772122364,0.8202083333333333,0.8202083333333333,0.013333333333333334,0.0005836074499529786,16.0,16.0,0.7144794667245947,2.8766666666666665,2.8766666666666665,0.00013477633585959363,1.0,0.0,0.0,2.164247640128559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19365981745068e-05,3.303219991115232e-05,0.00013477633585959363,0.00015202200142084622,0.00012256879990066712,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.375,gOMP,baseline,0.0063861483239693395,0.07404603904045348,0.878125,0.878125,0.08333333333333333,0.0005270255335199181,6.0,16.0,0.36297687395114825,1.95,1.95,0.0002022258234016287,3.0,0.0,0.0,2.1319310544896966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7791279474816596e-05,7.875083562491151e-05,0.0002022258234016287,4.4669665270096934e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
