snr_db,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
25.0,RMP,baseline,0.03202739371211677,0.17760439600712594,0.8283333333333334,0.8283333333333334,0.016666666666666666,0.0012071411567740142,16.0,16.0,0.6634457220900012,2.7466666666666666,2.7466666666666666,0.00047378392686368896,1.0,0.0,0.0,2.181027569549446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0125961705731846e-05,4.4729245758693044e-05,0.00046692694071680306,0.0001873911991909457,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
25.0,RMP,optimized,0.03202739375022368,0.1776043961151423,0.8283333333333334,0.8283333333333334,0.016666666666666666,0.0006299402472116829,16.0,16.0,0.6634457223935211,2.7466666666666666,2.7466666666666666,0.00014580992074722114,1.0,0.0,0.0,2.181027569549446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3966391909246644e-05,3.599116777574333e-05,0.00014580992074722114,0.00016132442358260352,0.00013517713698092847,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
25.0,gOMP,baseline,0.0022165958269324848,0.04188386312502778,0.908125,0.908125,0.13,0.0005910981603665278,6.0,16.0,0.22215150129670191,1.47,1.47,0.00022489609774008082,3.0,0.0,0.0,2.1389410241599407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203600033884868e-05,8.872716716723517e-05,0.00022489609774008082,4.965064072166569e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
25.0,gOMP,optimized,0.0022165958274270705,0.04188386312977206,0.908125,0.908125,0.13,0.0002924161299597472,6.0,16.0,0.22215150129670191,1.47,1.47,0.00010402067865167434,3.0,0.0,0.0,2.1389410241599407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628764336501869e-05,6.221929341942693e-05,0.00010402067865167434,3.56056570308283e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
30.0,Improved-gOMP,baseline,0.003245077520958966,0.04219384410865033,0.9075,0.9121388888888888,0.18,0.002946327060344629,6.076666666666667,15.923333333333334,0.17395638987046327,1.4033333333333333,1.48,0.00023454663164253968,17.664539682539683,0.0,0.0,2.1421568189784366,0.9966666666666667,0.9966666666666667,1.0,1.0,1.0,1.0,0.0,3.508827838231809e-05,0.0020204278126281375,0.00019276590668596328,4.5417962343587227e-05,0.0002581822283294362,3542.0266666666666,768.0,2048.0,0.0,0.0,0.0,474.96,56.61333333333334,48.61333333333334,48.61333333333334,48.61333333333334,48.61333333333334,0.0
30.0,Improved-gOMP,optimized,0.0007876838318961475,0.02155808084722691,0.95125,0.9622916666666667,0.39666666666666667,0.0014653763860405888,6.073333333333333,15.82,0.1249137493639766,0.6,0.78,0.0001706900766293984,0.0,0.0,0.0,2.0876996365780247,0.9833333333333333,0.9833333333333333,0.0,0.0,1.0,0.0,1.0,3.0743190630649524e-05,0.0007195416532340459,0.0002897533494979143,4.8217176081379874e-05,0.00019297134548348064,5186.453333333333,768.0,2048.0,0.0,2004.16,126.56,126.56,56.586666666666666,48.586666666666666,0.0,0.0,8.0,0.0
30.0,OMP,baseline,0.00034708035747861164,0.016741295279979473,0.9720833333333333,0.9720833333333333,0.6266666666666667,0.0011677293600223493,16.0,16.0,0.1120924166646744,0.44666666666666666,0.44666666666666666,0.0004542388331416684,1.0,0.0,0.0,2.0610369926426766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583672117713529e-05,0.00012813999099307695,0.0004542388331416684,0.00011448291382597139,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
30.0,OMP,optimized,0.0003470803574494911,0.016741295279414228,0.9720833333333333,0.9720833333333333,0.6266666666666667,0.0006487599407652548,16.0,16.0,0.1120924166646744,0.44666666666666666,0.44666666666666666,0.00025116976903518664,1.0,0.0,0.0,2.0610369926426766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.467006659174028e-05,2.8228219355999803e-05,0.00025116976903518664,8.74515826581046e-05,0.0001290607644962923,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
30.0,RMP,baseline,0.030001634359407673,0.1718453020406246,0.8483333333333334,0.8483333333333334,0.03333333333333333,0.0011407616898456278,16.0,16.0,0.6299058101999333,2.4266666666666667,2.4266666666666667,0.00044925654661104395,1.0,0.0,0.0,2.180591471972022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69827123642123e-05,4.4496244421073546e-05,0.00044261335982203795,0.0001747159968848185,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
30.0,RMP,optimized,0.030001634396126697,0.1718453021482302,0.8483333333333334,0.8483333333333334,0.03333333333333333,0.0006049048034280229,16.0,16.0,0.6299058105056703,2.4266666666666667,2.4266666666666667,0.0001380767859033464,1.0,0.0,0.0,2.180591471972022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2560303010977805e-05,3.550232048534478e-05,0.0001380767859033464,0.0001587245469757666,0.0001257802895755352,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
